time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max
2015-05-13,23.3,14.9,0.0,16.8,81
2015-05-13,23.4,15.0,0.0,16.8,81
2015-05-13,23.3,14.9,0.0,16.8,81
2015-05-13,21.2,16.5,0.0,13.3,76
2015-05-13,23.5,13.2,0.0,11.9,85
2015-05-13,24.7,13.3,0.0,20.9,73
2015-05-13,24.2,16.5,0.0,20.6,68
2015-05-13,23.2,14.3,0.0,18.0,79
2015-05-13,23.1,14.2,0.0,18.0,79
2015-05-13,23.1,14.2,0.0,18.0,79
2015-05-13,23.9,14.7,0.0,23.1,76
2015-05-13,24.3,16.6,0.0,20.6,68
2015-05-13,23.4,15.0,0.0,16.8,81
2015-05-13,24.4,14.5,0.0,23.1,81
2015-05-13,23.3,14.4,0.0,18.0,79
2015-05-13,23.1,14.2,0.0,18.0,79
2015-05-13,21.0,15.5,0.0,30.0,86
2015-05-13,23.3,14.9,0.0,16.8,81
2015-05-13,23.8,13.1,0.0,9.7,79
2015-05-14,26.2,14.9,0.0,20.4,74
2015-05-14,26.2,14.9,0.0,20.4,74
2015-05-14,29.5,11.1,0.0,8.7,86
2015-05-14,29.6,11.2,0.0,8.7,86
2015-05-14,27.0,17.2,0.0,17.0,74
2015-05-14,26.4,16.7,0.0,14.6,66
2015-05-15,26.6,17.4,0.0,16.6,82
2015-05-15,23.3,17.6,0.0,12.7,81
2015-05-15,29.1,16.9,0.0,12.0,79
2015-05-15,29.0,15.9,0.0,15.7,83
2015-05-15,28.9,15.1,0.0,15.7,83
2015-05-15,23.8,18.1,0.0,12.7,82
2015-05-16,28.6,17.1,0.0,11.9,84
2015-05-16,22.7,18.8,0.0,10.3,90
2015-05-16,28.6,17.1,0.0,11.9,84
2015-05-16,26.3,17.2,0.0,10.2,88
2015-05-16,33.4,15.4,0.0,6.9,78
2015-05-16,28.1,18.3,0.0,10.5,87
2015-05-17,26.6,16.6,0.3,7.0,95
2015-05-17,25.2,14.7,0.0,9.3,97
2015-05-17,28.0,18.0,0.0,9.7,87
2015-05-17,26.6,16.3,0.0,7.9,85
2015-05-17,28.7,15.9,0.0,10.1,93
2015-05-17,25.7,13.9,0.0,11.4,87
2015-05-18,27.3,16.0,0.0,10.0,100
2015-05-18,23.9,14.2,0.0,9.1,100
2015-05-18,28.3,14.7,0.0,7.9,95
2015-05-18,23.0,10.2,0.9,11.6,82
2015-05-18,28.6,16.3,0.0,11.5,92
2015-05-18,24.9,17.0,0.0,9.2,97
2015-05-18,28.4,17.5,0.0,13.6,81
2015-05-18,27.3,15.9,0.0,10.0,100
2015-05-18,25.9,14.1,0.0,7.2,93
2015-05-19,26.9,16.2,0.3,12.4,99
2015-05-19,27.4,17.0,0.0,12.6,86
2015-05-20,25.5,16.3,0.5,15.1,86
2015-05-20,25.4,15.2,1.3,14.5,88
2015-05-20,25.4,13.9,1.8,15.4,93
2015-05-20,25.4,13.9,1.8,15.4,93
2015-05-20,26.4,16.8,1.3,14.5,85
2015-05-21,30.1,15.4,0.0,9.5,90
2015-05-21,26.8,19.3,0.6,12.1,87
2015-05-21,25.9,17.3,0.0,14.4,93
2015-05-21,30.3,15.6,0.0,9.5,90
2015-05-21,30.1,15.4,0.0,9.5,90
2015-05-21,30.2,15.5,0.0,9.5,90
2015-05-22,26.7,18.8,0.0,11.4,80
2015-05-22,23.1,18.5,0.0,15.1,84
2015-05-22,27.7,19.0,0.7,10.6,83
2015-05-23,27.2,18.7,0.0,9.4,85
2015-05-23,23.8,18.3,0.0,12.2,88
2015-05-23,31.5,15.5,0.0,7.6,85
